Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"1,096,800",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transfer payments,Local Capacity and Co-ordination
2014-2015,"1,123,909",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research,Health Policy and Research,Health Policy and Research,Transfer payments,Ontario Temporary Health Program for Refugee Claimants
2014-2015,"1,162,414",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Acquired Brain Injury
2014-2015,"241,800",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"1,243,292",Ministry of Health and Long-Term Care,Capital Expense,Health Capital,Health Capital,Health Capital,Other transactions,Facilities Condition Assessment Program
2014-2015,"1,350,964",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ontario Review Board,Ontario Review Board,Salaries and wages,
2014-2015,"1,351,343",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Drug Programs,Drug Programs,Employee benefits,
2014-2015,"1,493,457",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Clair,Transfer payments,Acquired Brain Injury
2014-2015,"1,632,344",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Acquired Brain Injury
2014-2015,"1,678,564",Ministry of Health and Long-Term Care,Operating Expense,Public Health,Public Health,Public Health,Supplies and equipment,
2014-2015,"1,714,922",Ministry of Health and Long-Term Care,Operating Expense,Public Health,Public Health,Public Health,Employee benefits,
2014-2015,"1,852,024",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,Acquired Brain Injury
2014-2015,"1,940,485",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Transportation and communication,
2014-2015,"2,040,000",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,eHealth
2014-2015,"2,040,000",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer payments,eHealth
2014-2015,"2,169,182",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research,Health Policy and Research,Health Policy and Research,Employee benefits,
2014-2015,"2,179,046",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Assisted Living Services in Supportive Housing
2014-2015,"2,283,041",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2014-2015,"2,321,269",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer payments,Community Health Centres
2014-2015,"2,387,895",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Transportation and communication,
2014-2015,"2,437,435",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Assistive Devices Program,Assistive Devices Program,Salaries and wages,
2014-2015,"2,535,116",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"2,543,148",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Acquired Brain Injury
2014-2015,"2,705,421",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Ontario Health Insurance,Ontario Health Insurance,Transportation and communication,
2014-2015,"2,778,889",Ministry of Health and Long-Term Care,Operating Expense,e-Health and Information Management,e-Health and Information Management,e-Health and Information Management,Employee benefits,
2014-2015,"2,937,655",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"2,983,649",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Acquired Brain Injury
2014-2015,"3,010,734",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington,Transfer payments,Acquired Brain Injury
2014-2015,"3,021,285",Ministry of Health and Long-Term Care,Operating Expense,Public Health,Public Health,Public Health,Transfer payments,Sexually Transmitted Diseases Control
2014-2015,"3,060,000",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,eHealth
2014-2015,"3,063,638",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"4,032,798",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Employee benefits,
2014-2015,"4,033,389",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"4,036,159",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"280,275",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"355,650",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"4,479,141",Ministry of Health and Long-Term Care,Capital Expense,Health Capital,Health Capital,Health Capital,Transfer payments,Long-Term Care Programs
2014-2015,"4,515,410",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ontario Review Board,Ontario Review Board,Services,
2014-2015,"439,800",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"4,929,947",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Acquired Brain Injury
2014-2015,"464,700",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"5,017,284",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Addiction Program
2014-2015,"5,215,333",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research,Health Policy and Research,Health Policy and Research,Services,
