Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"2,524,239",Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,eHealth and Information Management,No Value,Employee benefits,No Value
2018-19,"2,525,711",Northern Development and Mines,Capital Expense,Northern Development Program,Northern Economic Development,No Value,Other transactions,Resource Access Roads
2018-19,"2,525,900",Attorney General,Operating Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"2,526,876","Tourism, Culture and Sport",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2018-19,"2,532,120",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,No Value,Transportation and communication,No Value
2018-19,"2,547,672","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Services,No Value
2018-19,"2,559,673",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,565,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,"Economic Development, Investment",Transfer payments,Canadian Urban Transit Research and Innovation Entrepreneurship Consortium
2018-19,"2,577,670","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2018-19,"2,593,265",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Offender Rehabilitation Programs
2018-19,"2,596,236","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Transfer payments,Aboriginal Programs
2018-19,"2,596,898",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"2,609,456",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Employee benefits,No Value
2018-19,"2,609,728",Government and Consumer Services,Operating Expense,Consumer Services,Consumer Services,No Value,Services,No Value
2018-19,"2,613,506",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,619,226",Infrastructure,Capital Expense,Community Hubs ,Community Hubs ,No Value,Transfer payments,Community Hubs Capital
2018-19,"2,623,152",Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,No Value,Employee benefits,No Value
2018-19,"2,625,595",Municipal Affairs / Housing,Operating Expense,Local Government and Planning Policy,Local Government and Planning Policy,No Value,Transfer payments,Municipal Research and Analysis Grant
2018-19,"2,637,609",Finance,Capital Expense,"Tax, Benefits and Local Finance Program ",Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"2,645,727",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,648,532",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,657,070",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"2,657,655",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Salaries and wages,No Value
2018-19,"2,663,107",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,673,468",Labour,Operating Expense,Occupational Health and Safety Program,Prevention Office ,No Value,Services,No Value
2018-19,"2,677,197","Tourism, Culture and Sport",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,677,331",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Transfer payments,Enabling Change
2018-19,"2,684,007",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Services,No Value
2018-19,"2,696,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2018-19,"2,715,523",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Transfer payments,Participation Fund
2018-19,"2,719,485",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,725,426",Natural Resources and Forestry,Operating Expense,Land and Resources Information and Information Technology Cluster Program,Land and Resources Information Technology Cluster,No Value,Employee benefits,No Value
2018-19,"2,742,017",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Planning and Finance,Services,No Value
2018-19,"2,763,626","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Transportation and communication,No Value
2018-19,"2,771,051","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Employee benefits,No Value
2018-19,"2,771,969",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Supplies and equipment,No Value
2018-19,"2,779,250","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Services,No Value
2018-19,"2,784,665",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Supplies and equipment,No Value
2018-19,"2,797,101",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Salaries and wages,No Value
2018-19,"2,800,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,TalentEdge
2018-19,"2,832,669",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Transportation and communication,No Value
2018-19,"2,836,921",Transportation,Operating Expense,Ministry Administration Program,Business Support,Human Resources Services,Salaries and wages,No Value
2018-19,"2,847,910",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,848,733","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,"Economic Development, Investment",Employee benefits,No Value
2018-19,"2,852,626","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Services,No Value
2018-19,"2,870,059",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,Tax Compliance and Benefits,Transportation and communication,No Value
2018-19,"2,874,208",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Services,No Value
2018-19,"2,874,756","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Services,No Value
2018-19,"2,880,605",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,893,756",Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,No Value,Employee benefits,No Value
2018-19,"2,905,296",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Fish and Wildlife Special Purpose Funds,Transportation and communication,No Value
2018-19,"2,915,570",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,919,203",Labour,Operating Expense,Occupational Health and Safety Program,Prevention Office ,No Value,Transfer payments,Prevention Grants
2018-19,"2,930,225",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transportation and communication,No Value
2018-19,"2,936,431",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Acquired Brain Injury
