Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"619,246",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Employer Adviser,Office of the Employer Adviser,Employee Benefits,
2015-16,"2,530,668",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Employer Adviser,Office of the Employer Adviser,Salaries and Wages,
2015-16,"383,994",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Employer Adviser,Office of the Employer Adviser,Services,
2015-16,"22,806",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Employer Adviser,Office of the Employer Adviser,Supplies and equipment,
2015-16,"114,968",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Employer Adviser,Office of the Employer Adviser,Transportation and Communication,
2015-16,"2,057,482",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Worker Adviser,Office of the Worker Adviser,Employee Benefits,
2015-16,"7,391,566",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Worker Adviser,Office of the Worker Adviser,Salaries and Wages,
2015-16,"1,342,232",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Worker Adviser,Office of the Worker Adviser,Services,
2015-16,"76,660",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Worker Adviser,Office of the Worker Adviser,Supplies and equipment,
2015-16,"260,195",Ministry of Labour,Operating Expense,Occupational Health and Safety,Office of the Worker Adviser,Office of the Worker Adviser,Transportation and Communication,
2015-16,"978,222",Ministry of Labour,Operating Expense,Labour Relations,Ontario Labour Relations Board,Ontario Labour Relations Board,Employee Benefits,
2015-16,"7,517,377",Ministry of Labour,Operating Expense,Labour Relations,Ontario Labour Relations Board,Ontario Labour Relations Board,Salaries and Wages,
2015-16,"3,785,428",Ministry of Labour,Operating Expense,Labour Relations,Ontario Labour Relations Board,Ontario Labour Relations Board,Services,
2015-16,"271,368",Ministry of Labour,Operating Expense,Labour Relations,Ontario Labour Relations Board,Ontario Labour Relations Board,Supplies and equipment,
2015-16,"302,054",Ministry of Labour,Operating Expense,Labour Relations,Ontario Labour Relations Board,Ontario Labour Relations Board,Transportation and Communication,
2015-16,"33,334",Ministry of Labour,Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"12,628",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Hearings Tribunal,Pay Equity Hearings Tribunal,Employee Benefits,
2015-16,"158,191",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Hearings Tribunal,Pay Equity Hearings Tribunal,Salaries and Wages,
2015-16,"67,617",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Hearings Tribunal,Pay Equity Hearings Tribunal,Services,
2015-16,"34,388",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Hearings Tribunal,Pay Equity Hearings Tribunal,Supplies and equipment,
2015-16,"9,232",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Hearings Tribunal,Pay Equity Hearings Tribunal,Transportation and Communication,
2015-16,"274,217",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Employee Benefits,
2015-16,"2,246,288",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Salaries and Wages,
2015-16,"490,947",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Services,
2015-16,"21,383",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Supplies and equipment,
2015-16,"46,845",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Transportation and Communication,
2015-16,"1,180,415",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Employee Benefits,
2015-16,"7,678,934",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Salaries and Wages,
2015-16,"4,385,886",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Services,
2015-16,"71,050",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Supplies and equipment,
2015-16,"201,633",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Transportation and Communication,
2015-16,"75,900",Ministry of Labour,Operating Expense,Occupational Health and Safety,Workplace Safety and Insurance Advisory Program Administration,Workplace Safety and Insurance Advisory Program Administration,Employee Benefits,
2015-16,"505,200",Ministry of Labour,Operating Expense,Occupational Health and Safety,Workplace Safety and Insurance Advisory Program Administration,Workplace Safety and Insurance Advisory Program Administration,Salaries and Wages,
2015-16,"5,600",Ministry of Labour,Operating Expense,Occupational Health and Safety,Workplace Safety and Insurance Advisory Program Administration,Workplace Safety and Insurance Advisory Program Administration,Services,
2015-16,"10,400",Ministry of Labour,Operating Expense,Occupational Health and Safety,Workplace Safety and Insurance Advisory Program Administration,Workplace Safety and Insurance Advisory Program Administration,Supplies and equipment,
2015-16,"8,200",Ministry of Labour,Operating Expense,Occupational Health and Safety,Workplace Safety and Insurance Advisory Program Administration,Workplace Safety and Insurance Advisory Program Administration,Transportation and Communication,
2015-16,"2,820,700",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Aboriginal Housing Trust
2015-16,"15,518,064",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Affordable Housing Program Provincial Contribution
2015-16,"1,146,000",Ministry of Municipal Affairs and Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Assistance to Moosonee
2015-16,"343,273",Ministry of Municipal Affairs and Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Assistance to Planning Boards
2015-16,"100,000",Ministry of Municipal Affairs and Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Capacity and Leadership Grants for Municipalities and Municipal Organizations
2015-16,"200,000",Ministry of Municipal Affairs and Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Disaster Recovery Assistance for Ontarians
2015-16,"20,000",Ministry of Municipal Affairs and Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Disaster Relief Assistance to Municipalities
2015-16,"280,000",Ministry of Municipal Affairs and Housing,Capital Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Municipal Services and Building Regulation,Transfer Payments,Disaster Relief Assistance to Municipalities
2015-16,"199,448",Ministry of Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy,Ontario Growth Secretariat,Ontario Growth Secretariat,Transfer Payments,Growth Fund
2015-16,"293,707,100",Ministry of Municipal Affairs and Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,Social and Market Housing,Transfer Payments,Homelessness Prevention Program
2015-16,"40,284,600",Ministry of Municipal Affairs and Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,Social and Market Housing,Transfer Payments,Investment in Affordable Housing - Rent Supplement - Provincial
2015-16,"80,130,000",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Investment in Affordable Housing Extension-Federal
2015-16,"39,760,364",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Investment in Affordable Housing Program - Provincial
2015-16,"2,138,125",Ministry of Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy,Local Government and Planning Policy,Local Government and Planning Policy,Transfer Payments,Municipal Research and Analysis Grant
2015-16,"9,991,246",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Ontario Mortgage and Housing Corporation Capital Expenses
2015-16,"2,094,092",Ministry of Municipal Affairs and Housing,Capital Expense,Affordable Housing Program,Affordable Housing Program,Affordable Housing Program,Transfer Payments,Pan/Parapan AM Games Affordable Units
2015-16,"87,320,126",Ministry of Municipal Affairs and Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,Social and Market Housing,Transfer Payments,Payments to Ontario Mortgage Housing Corporation
2015-16,"423,932,760",Ministry of Municipal Affairs and Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,Social and Market Housing,Transfer Payments,Payments to Service Managers Including Non-Profit Operations in Unorganized Territories
