Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"199,206",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Transfer payments,Asset Management
2021-22,"155,559,800",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Toronto Waterfront Revitalization
2021-22,"14,795,109",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Broadband and Cellular Infrastructure
2021-22,"67,129,831",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Rural and Northern Infrastructure - Federal Contributions
2021-22,"39,609,305",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Rural and Northern Infrastructure - Provincial Contributions
2021-22,"16,652,318",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,"Community, Culture and Recreation (Provincial Contribution)"
2021-22,"21,957,469",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,"Community, Culture and Recreation (Federal Contribution)"
2021-22,"10,344,651",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Green Infrastructure (Provincial Contribution)
2021-22,"24,160,321",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Green Infrastructure (Federal Contribution)
2021-22,"6,416,590",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,ICIP - COVID-19 Resilience (Provincial Contribution)
2021-22,"25,666,360",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,ICIP - COVID-19 Resilience (Federal Contribution)
2021-22,"9,542,223",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Clean Water and Wastewater Fund - Federal Contribution
2021-22,"4,647,459",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Clean Water and Wastewater Fund - Provincial Contribution
2021-22,"54,137,650",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Federal - Provincial Infrastructure Programs - Provincial Contributions
2021-22,"28,902,019",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Federal - Provincial Infrastructure Programs - Federal Contributions
2021-22,"398,840,669",Infrastructure,Capital Expense,Infrastructure Policy and Planning Program,Infrastructure Programs,No Value,Transfer payments,Municipal Infrastructure
2021-22,"4,962,502","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"583,584","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"147,029","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"491,178","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"10,604","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"2,096,680","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2021-22,"264,106","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2021-22,"16,323","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2021-22,"583,682","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2021-22,"29,206","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2021-22,"2,509,971","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Salaries and wages,No Value
2021-22,"374,103","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Employee benefits,No Value
2021-22,"9,049","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Transportation and communication,No Value
2021-22,"98,954","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Services,No Value
2021-22,"3,306","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Supplies and equipment,No Value
2021-22,"3,738,689","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"575,537","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"30,739","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"1,013,359","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"10,176","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"17,438","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"8,181,552","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"4,536","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"270,069","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2021-22,"1,690,709","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2021-22,"227,387","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2021-22,"7,931","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2021-22,"291,045","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2021-22,"88,057","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"27,849","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"15,186","Labour, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"1,778,884","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Salaries and wages,No Value
2021-22,"254,724","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Employee benefits,No Value
2021-22,"19,168","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Transportation and communication,No Value
2021-22,"761,240","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Services,No Value
2021-22,"4,556","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Supplies and equipment,No Value
2021-22,"126,166","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Salaries and wages,No Value
2021-22,"12,372","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Employee benefits,No Value
2021-22,514,"Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Transportation and communication,No Value
2021-22,"32,245","Labour, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Services,No Value
2021-22,"8,468,897","Labour, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,No Value,Salaries and wages,No Value
2021-22,"1,107,512","Labour, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,No Value,Employee benefits,No Value
